type,i#,Item,Notes,Further notes,Edit notes,,Notes
67,57,Garlic,,,,,
54,58,Gas Mask,,,<active>True</active>,After,
62,59,Ginger Root,,,<isStrength>True</isStrength>,After,
78,60,Glass Jar,,,<visible>True</visible>,After,
127,61,Hacking Terminal,,,,,
12,62,Hinge,,,,,
62,63,Holy Basil,,,,,
46,64,Large rucksack,,,,,
903,65,Laser Cell,,,,,
13,66,Leather,,,,,
42,67,Lens,,,,,
41,68,Lighter,,,,,
38,69,Limestone,,,,,
90,70,Lockpick Set,,,,,
77,71,Log,,,,,
40,72,Magnesium,,,,,
82,73,Mannequin Arm,,,,,
81,74,Mannequin Head,,,,,
80,75,Mannequin Leg,,,,,
20,76,Matches,,,,,
85,77,Meat,(messes with inventory),,,,
6,78,Metal,,,,,
50,79,Metal detector,,,,,
87,80,Metal Ore,,,,,
98,81,Military Rucksack,,,,,
89,82,Motion Detector,,,,,
31,83,Motor,,,,,
44,84,Nail Bomb,,,,,
7,85,Nail,,,,,
1303,86,Note,,,,,
14,87,Nylon,,,,,
61,88,Oak Bark,,,,,
128,89,Old Soap,,,,,
57,90,Paint can,,,,,
58,91,Passion Flower,,,,,
2,92,Petrol Can,,,,,
1301,93,Photograph,,,,,
900,94,Pistol Ammo,,,,,
34,95,Plastic,,,,,
74,96,Plastic Bottle,,,,,
95,97,Prospectors Kit,,,,,
68,98,Raw Honey,,,,,
17,99,Record,,,,,
902,100,Rifle Ammo,,,,,
35,101,Rope,,,,,
36,102,Rubber,,,,,
45,103,Rucksack,,,,,
130,104,Ruined Leather,,,,,
131,105,Rusted Lighter,,,,,
132,106,Rusted Nail,,,,,
37,107,Sand,,,,,
15,108,Satchel,,,,,
79,109,Scrap Pile,,,,,
53,110,Seeds,,,,,
901,111,Shotgun Ammo,,,,,
99,112,Soap,,,,,
9,113,Spring,,,,,
59,114,St. John's Wort,,,,,
32,115,Switch,,,,,
93,116,Tent,,,,,
19,117,Toy,,,,,
24,118,Transistor,,,,,
48,119,Trip wire,,,,,
11,120,Valve,,,,,
27,121,Wiring,,,,,
8,122,Wool,,,,,
134,123,Worm Husk,,,,,
60,124,Yellow Jasmine,,,,,
102,125,Adrenalin,Medicine cabinet,,,,
22,126,Antibiotics,Medicine cabinet,,,,
16,127,Anti-Radiation Tablets,Medicine cabinet,,,,
73,128,Bandages,Medicine cabinet,,,,
125,129,Expired Antibiotics,,,,,
3,130,First Aid Kit,Medicine cabinet,,,,
69,131,Homemade Antibiotic,Medicine cabinet,,,,
72,132,Homemade Antidepressant,Medicine cabinet,,,,
70,133,Homemade Antiemetic,Medicine cabinet,,,,
71,134,Homemade Anti-Radiation Tablets,Medicine cabinet,,,,
133,135,Used Bandages,,,,,
23,136,Relaxants,Medicine cabinet,,,,
358,137,Ammunition Press,Placed objects (don't use),,,,
371,138,Paint Can Trap,Placed objects (don't use),,,,
373,139,Rifle Sentry Trap,Placed objects (don't use),,,,
369,140,Shotgun Trap,Placed objects (don't use),,,,
370,141,Spike Trap,Placed objects (don't use),,,,
304,142,Comfy Bunk Bed,Placed objects (don't use),,,,
327,143,Comfy Bed,Placed objects (don't use),,,,
328,144,Luxury Bunk Bed,Placed objects (don't use),,,,
321,145,Bed,Placed objects (don't use),,,,
326,146,Sleeping Bag,Placed objects (don't use),,,,
300,147,Bookshelf,Placed objects (don't use),,,,
375,148,CCTV Camera,Placed objects (don't use),,,,
306,149,Chair,Placed objects (don't use),,,,
374,150,Coffee Machine,Placed objects (don't use),,,,
311,151,object.cot (debug?),Placed objects (don't use),,,,
378,152,Cryo-chamber (debug?),Placed objects (don't use),,,,
376,153,Defibrillator,Placed objects (don't use),,,,
318,154,Land mine (debug),Placed objects (don't use),,,,
367,155,Fire Extinguisher,Placed objects (don't use),,,,
323,156,Grave,Placed objects (don't use),,,,
366,157,Hiding Spot,Placed objects (don't use),,,,
356,158,Incinerator,Placed objects (don't use),,,,
380,159,Item Fabricator,Placed objects (don't use),,,,
357,160,Laboratory,Placed objects (don't use),,,,
322,161,Land mine (debug),Placed objects (don't use),,,,
365,162,Large Freezer,Placed objects (don't use),,,,
372,163,Makeshift Recycler,Placed objects (don't use),,,,
364,164,Medium Freezer,Placed objects (don't use),,,,
324,165,Map & Bucket,Placed objects (don't use),,,,
359,166,Painting,Placed objects (don't use),,,,
341,167,Auto Pantry,Placed objects (don't use),,,,
340,168,Large Pantry,Placed objects (don't use),,,,
339,169,Medium Pantry,Placed objects (don't use),,,,
338,170,Small Pantry,Placed objects (don't use),,,,
337,171,Tiny Pantry,Placed objects (don't use),,,,
302,172,Jukebox,Placed objects (don't use),,,,
314,173,Planter,Placed objects (don't use),,,,
310,174,Punchbag,Placed objects (don't use),,,,
354,175,Sturdy Punch Bag (debug),Placed objects (don't use),,,,
320,176,Rat Trap,Placed objects (don't use),,,,
361,177,Recycling Plant,Placed objects (don't use),,,,
360,178,Sculpture,Placed objects (don't use),,,,
335,179,Efficient Shower,Placed objects (don't use),,,,
334,180,Good Shower,Placed objects (don't use),,,,
336,181,Luxury Shower,Placed objects (don't use),,,,
333,182,Makeshift Shower,Placed objects (don't use),,,,
363,183,Small Freezer,Placed objects (don't use),,,,
317,184,Snare Trap,Placed objects (don't use),,,,
353,185,Advanced Snare Trap,Placed objects (don't use),,,,
352,186,Moderate Snare Trap,Placed objects (don't use),,,,
325,187,Solar Panel,Placed objects (don't use),,,,
319,188,Spike Trap (debug),Placed objects (don't use),,,,
368,189,Stable,Placed objects (don't use),,,,
348,190,Large Crate,Placed objects (don't use),,,,
312,191,Storage Locker (debug),Placed objects (don't use),,,,
347,192,Medium Crate,Placed objects (don't use),,,,
346,193,Small Crate,Placed objects (don't use),,,,
351,194,Excellent Stove,Placed objects (don't use),,,,
307,195,Good Stove,Placed objects (don't use),,,,
349,196,Poor Stove,Placed objects (don't use),,,,
309,197,Makeshift Toilet,Placed objects (don't use),,,,
329,198,Bucket Toilet,Placed objects (don't use),,,,
331,199,Efficient Toilet,Placed objects (don't use),,,,
330,200,Good Toilet,Placed objects (don't use),,,,
332,201,Luxury Toilet,Placed objects (don't use),,,,
308,202,Toy Box,Placed objects (don't use),,,,
377,203,Wardrobe,Placed objects (don't use),,,,
313,204,Small Water Butt,Placed objects (don't use),,,,
344,205,Auto Water Butt,Placed objects (don't use),,,,
343,206,Large Water Butt,Placed objects (don't use),,,,
342,207,Medium Water Butt,Placed objects (don't use),,,,
362,208,Water Condenser,Placed objects (don't use),,,,
113,209,Aluminium Composite,"Not sure, never used",Stasis scenario,,,
118,210,Coolant,"Not sure, never used",Stasis scenario,,,
120,211,Nano Electronics,"Not sure, never used",Stasis scenario,,,
119,212,Nickel Alloy,"Not sure, never used",Stasis scenario,,,
116,213,Reinforced Carbon,"Not sure, never used",Stasis scenario,,,
115,214,Valve Assembly,"Not sure, never used",Stasis scenario,,,
117,215,Thermal Tiles,"Not sure, never used",Stasis scenario,,,
114,216,Titanium Alloy,"Not sure, never used",Stasis scenario,,,
111,217,Bay Cover A,"Not sure, never used",Stasis scenario,,,
112,218,Bay Cover B,"Not sure, never used",Stasis scenario,,,
106,219,Booster Cylinder,"Not sure, never used",Stasis scenario,,,
109,220,Core Compartment Panel,"Not sure, never used",Stasis scenario,,,
105,221,Engine Chassis,"Not sure, never used",Stasis scenario,,,
110,222,Heat Exchange Panel,"Not sure, never used",Stasis scenario,,,
107,223,Injection Cylinder,"Not sure, never used",Stasis scenario,,,
108,224,Main Booster,"Not sure, never used",Stasis scenario,,,
1201,225,Auto Pantry Schematic,Recipes,You have to add it to an expedition inventory and return before it is used,,,
1202,226,Auto Water Butt Schematic,Recipes,You have to add it to an expedition inventory and return before it is used,,,
1209,227,Flash Knife Schematic,Recipes,You have to add it to an expedition inventory and return before it is used,,,
1207,228,Knuckle Dusters Of Might Schematic,Recipes,You have to add it to an expedition inventory and return before it is used,,,
1210,229,Librarian's Crowbar Schematic,Recipes,You have to add it to an expedition inventory and return before it is used,,,
1206,230,Lucky Lucky Bat Schematic,Recipes,You have to add it to an expedition inventory and return before it is used,,,
1204,231,Luxury Bunk Bed Schematic,Recipes,You have to add it to an expedition inventory and return before it is used,,,
1205,232,Luxury Shower Schematic,Recipes,You have to add it to an expedition inventory and return before it is used,,,
1203,233,Luxury Toilet Schematic,Recipes,You have to add it to an expedition inventory and return before it is used,,,
1208,234,Rebar Of Confidence Schematic,Recipes,You have to add it to an expedition inventory and return before it is used,,,
1200,235,Test-schematic (debug),,,,,
1001,236,Ladder (installed?),Placed objects (don't use),,,,
1002,237,Light (installed?),Placed objects (don't use),,,,
1100,238,Red Paint,Placed objects (don't use),,,,
1109,239,Paint Stripper,Placed objects (don't use),,,,
1101,240,Green Paint,Placed objects (don't use),,,,
1102,241,Blue Paint,Placed objects (don't use),,,,
1103,242,Yellow Paint,Placed objects (don't use),,,,
1104,243,Orange Paint,Placed objects (don't use),,,,
1105,244,Purple Paint,Placed objects (don't use),,,,
1106,245,Pink Paint,Placed objects (don't use),,,,
1107,246,Turquoise Paint,Placed objects (don't use),,,,
1108,247,White Paint,Placed objects (don't use),,,,
1000,248,Shelter Room (installed?),Placed objects (don't use),,,,
405,249,Chisel,Craft bench upgrade,You have to add it to an expedition inventory and return before it is used,,,
404,250,Drill,Craft bench upgrade,You have to add it to an expedition inventory and return before it is used,,,
400,251,Hammer,Craft bench upgrade,You have to add it to an expedition inventory and return before it is used,,,
403,252,Hand saw,Craft bench upgrade,You have to add it to an expedition inventory and return before it is used,,,
406,253,Nail gun,Craft bench upgrade,You have to add it to an expedition inventory and return before it is used,,,
402,254,Pliers,Craft bench upgrade,You have to add it to an expedition inventory and return before it is used,,,
408,255,Ratchet,Craft bench upgrade,You have to add it to an expedition inventory and return before it is used,,,
407,256,Sander,Craft bench upgrade,You have to add it to an expedition inventory and return before it is used,,,
401,257,Screwdriver,Craft bench upgrade,You have to add it to an expedition inventory and return before it is used,,,
409,258,Wrench,Craft bench upgrade,You have to add it to an expedition inventory and return before it is used,,,
201,259,Water?,Messes with inventory,,,,
200,260,Water?,Messes with inventory,,,,
607,261,Baseball Bat,,,,,
650,262,fists (debug?),,,,,
601,263,Crowbar,,,,,
653,264,fists (debug?),,,,,
600,265,fists (debug?),,,,,
702,266,Flashbang,,,,,
615,267,Flash Knife,,,,,
700,268,Grenade,,,,,
604,269,Hatchet,,,,,
605,270,Knife,,,,,
608,271,Knuckle duster,,,,,
613,272,Knuckle Dusters of Might,,,,,
617,273,Laser Pistol,,,,,
618,274,Laser Rifle,,,,,
619,275,Laser Shotgun,,,,,
616,276,Librarian's Crowbar,,,,,
612,277,Lucky Lucky Bat,,,,,
670,278,M16,,,,,
701,279,Pipe Bomb,,,,,
704,280,Excellent Pipe Bomb,,,,,
703,281,Poor Pipe Bomb,,,,,
10,282,Pipe,weapon/building material,,,,
609,283,Pistol,,,,,
602,284,Rebar,,,,,
614,285,Rebar Of Confidence,,,,,
611,286,Rifle,,,,,
606,287,Rock,,,,,
610,288,Shotgun,,,,,
603,289,Sledgehammer,,,,,
652,290,fists (debug?),,,,,
5,291,Wood,weapon/building material,,,,
654,292,fists (debug?),,,,,
